Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-51,26142129;3,15439300;-1,71620800
-49,95070130;4,77309500;0,09018219
-48,63998131;5,85223000;1,76122300
-47,32926132;6,03198300;3,16126000
-46,01854132;5,40238700;4,06460800
-44,70782133;3,69396000;4,38062700
-43,39710134;1,35593700;3,83877100
-42,08638135;-1,25125900;2,75475300
-40,77566136;-3,85906600;1,08386500
-39,46494136;-5,47746200;-0,72252570
-38,15422137;-6,19678400;-2,30323200
-36,84350138;-6,10705900;-3,52259900
-35,53278139;-5,02792500;-4,24527700
-34,22206140;-2,60017700;-4,24527700
-32,91134140;-0,44190800;-3,52259900
-31,60062141;2,61482600;-2,16773000
-30,28990142;4,41328100;-0,36118660
-28,97918143;5,49241600;1,35471700
-27,66846144;5,94195400;2,79992100
-26,35774144;5,67217000;3,88393800
-25,04702145;4,59334100;4,38062700
-23,73630146;1,89550500;4,06460800
-22,42558147;-0,44190800;3,07092500
-21,11486148;-3,31949800;1,53538600
-19,80414148;-4,93789500;-0,27100440
-18,49342149;-6,01702900;-1,89672500
-17,18270150;-6,10705900;-3,25159500
-15,87198151;-5,29770800;-4,06460800
-14,56126152;-3,49925200;-4,33561200
-13,25054152;-1,16122900;-3,74843600
-11,93982153;1,53599700;-2,61940400
-10,62910154;4,05377300;-0,85802790
-9,31838155;5,58244600;0,90319530
-8,00766156;6,12170800;2,43873400
-6,69694156;5,94195400;3,61293400
-5,38622157;4,95284900;4,29029200
-4,07550158;2,34534700;4,19995700
-2,76478159;0,09735405;3,38709700
-1,45406160;-2,86996100;1,98706000
-0,14334160;-4,57838700;0,22568440
1,16737839;-5,65752100;-1,53553900
2,47809838;-6,01702900;-2,93557500
3,78881837;-5,65752100;-3,92910600
5,09953836;-4,30860300;-4,33561200
6,41025836;-1,70079600;-3,97427300
7,72097835;0,54689170;-2,98074300
9,03169834;3,51420600;-1,35486900
10,34241833;5,13260300;0,45152130
11,65313832;6,12170800;2,07739500
12,96385832;6,12170800;3,34192900
14,27457831;5,13260300;4,19995700
15,58529830;2,97463900;4,33545900
16,89601829;0,81667530;3,65810100
18,20673828;-2,06061000;2,43873400
19,51745828;-4,21857400;0,72252570
20,82817827;-5,65752100;-1,08386500
22,13889826;-6,10705900;-2,61940400
23,44961825;-5,92700000;-3,74843600
24,76033824;-4,84817000;-4,24527700
26,07105824;-2,15063900;-4,10977500
27,38177823;0,18707850;-3,25159500
28,69249822;2,97463900;-1,80639100
30,00321821;4,68306500;-0,04531999
31,31393821;5,67217000;1,67088800
32,62465820;6,03198300;3,11609200
33,93537819;5,40238700;4,06460800
35,24609818;3,96374400;4,38062700
36,55681817;1,53599700;3,88393800
37,86753817;-0,98147520;2,79992100
39,17825816;-3,85906600;1,17420000
40,48897815;-5,29770800;-0,63219090
41,79969814;-6,19678400;-2,21289700
43,11041813;-6,01702900;-3,52259900
44,42113813;-5,11795400;-4,24527700
45,73185812;-2,77993100;-4,24527700
47,04257811;-0,62196720;-3,56776600
48,35329810;2,34534700;-2,25806500
49,66401809;4,32355700;-0,49668880
50,97473809;5,49241600;1,26438200
